impl,threads,iters,run,time_s,total,esperado
NAIVE,1,200000,1,0.000636,200000,200000
MUTEX,1,200000,1,0.006512,200000,200000
SHARDED,1,200000,1,0.000400,200000,200000
ATOMIC,1,200000,1,0.002123,200000,200000
NAIVE,1,200000,2,0.000766,200000,200000
MUTEX,1,200000,2,0.013786,200000,200000
SHARDED,1,200000,2,0.000757,200000,200000
ATOMIC,1,200000,2,0.004623,200000,200000
NAIVE,1,200000,3,0.001518,200000,200000
MUTEX,1,200000,3,0.020884,200000,200000
SHARDED,1,200000,3,0.001062,200000,200000
ATOMIC,1,200000,3,0.006557,200000,200000
NAIVE,2,200000,1,0.004424,200000,400000
MUTEX,2,200000,1,0.087046,400000,400000
SHARDED,2,200000,1,0.000793,400000,400000
ATOMIC,2,200000,1,0.010817,400000,400000
NAIVE,2,200000,2,0.001200,317790,400000
MUTEX,2,200000,2,0.062268,400000,400000
SHARDED,2,200000,2,0.000308,400000,400000
ATOMIC,2,200000,2,0.007534,400000,400000
NAIVE,2,200000,3,0.000833,382287,400000
MUTEX,2,200000,3,0.044485,400000,400000
SHARDED,2,200000,3,0.000196,400000,400000
ATOMIC,2,200000,3,0.008565,400000,400000
NAIVE,4,200000,1,0.000424,579346,800000
MUTEX,4,200000,1,0.058994,800000,800000
SHARDED,4,200000,1,0.000333,800000,800000
ATOMIC,4,200000,1,0.025732,800000,800000
NAIVE,4,200000,2,0.000375,515047,800000
MUTEX,4,200000,2,0.059680,800000,800000
SHARDED,4,200000,2,0.000343,800000,800000
ATOMIC,4,200000,2,0.025880,800000,800000
NAIVE,4,200000,3,0.000697,772872,800000
MUTEX,4,200000,3,0.055368,800000,800000
SHARDED,4,200000,3,0.000324,800000,800000
ATOMIC,4,200000,3,0.023257,800000,800000
NAIVE,8,200000,1,0.000740,1175506,1600000
MUTEX,8,200000,1,0.165850,1600000,1600000
SHARDED,8,200000,1,0.000757,1600000,1600000
ATOMIC,8,200000,1,0.035266,1600000,1600000
NAIVE,8,200000,2,0.000725,1093727,1600000
MUTEX,8,200000,2,0.160064,1600000,1600000
SHARDED,8,200000,2,0.000610,1600000,1600000
ATOMIC,8,200000,2,0.065631,1600000,1600000
NAIVE,8,200000,3,0.000991,1543940,1600000
MUTEX,8,200000,3,0.154549,1600000,1600000
SHARDED,8,200000,3,0.000962,1600000,1600000
ATOMIC,8,200000,3,0.065580,1600000,1600000
NAIVE,16,200000,1,0.029467,298535,3200000
MUTEX,16,200000,1,0.427304,3200000,3200000
SHARDED,16,200000,1,0.001042,3200000,3200000
ATOMIC,16,200000,1,0.152343,3200000,3200000
NAIVE,16,200000,2,0.019870,240476,3200000
MUTEX,16,200000,2,0.437819,3200000,3200000
SHARDED,16,200000,2,0.001000,3200000,3200000
ATOMIC,16,200000,2,0.154290,3200000,3200000
NAIVE,16,200000,3,0.002425,1100803,3200000
MUTEX,16,200000,3,0.441125,3200000,3200000
SHARDED,16,200000,3,0.000983,3200000,3200000
ATOMIC,16,200000,3,0.118913,3200000,3200000
